ID,Name,Sex,Age,Height,Weight,NOC,Games,Year,Season,City,Sport,Event,Medal
259,Reema Abdo,F,21,173,59,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
297,Lala Abdul Rashid,M,38,169,91,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
298,Muhammad Abdul Rashid,M,23,181,72,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,URS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
337,Mukhammad Kadyr Abdullayev,M,26,169,63,UZB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
339,Namiq Yadulla Abdullayev,M,25,167,55,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
339,Namiq Yadulla Abdullayev,M,29,167,55,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
351,Julius Shareef Abdur-Rahim,M,23,202,104,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
357,Yusup Abdusalomov,M,30,170,84,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
359,Andrey Khakimovich Abduvaliyev,M,26,190,125,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
367,Masashi Abe,M,28,175,64,JPN,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold
379,Addis Abebe,M,21,160,50,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
392,George Gordon Abel,M,35,NA,NA,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
394,Irene Abel,F,19,160,48,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
395,Jennifer Abel,F,20,160,62,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
401,Abelardo Fernndez Antua,M,22,NA,NA,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold
411,Gezahgne Abera,M,22,166,58,ETH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
423,Michael Brent Abernathy,M,22,182,84,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
424,Moira Abernethy (-Ford),F,17,NA,NA,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
428,Elvan Abeylegesse,F,25,159,40,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
443,Ismail Abilov (-Nizamolu),M,29,172,82,BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
455,Denis Mikhaylovich Ablyazin,M,19,161,62,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,M,19,161,62,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,M,24,161,62,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
460,Viktor Andreyevich Aboimov,M,22,190,78,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
460,Viktor Andreyevich Aboimov,M,22,190,78,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
465,"Matthew ""Matt"" Abood",M,30,197,92,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87,EGY,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver
507,Attila brahm,M,21,192,88,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
507,Attila brahm,M,21,192,88,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
507,Attila brahm,M,25,192,88,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
509,Gary Abraham,M,21,175,64,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
514,Ara Abrahamian,M,29,191,84,SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
543,Pavel Sergeyevich Abramov,M,25,198,89,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
547,Nelli Mikhaylovna Abramova,F,24,171,60,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
548,Yekaterina Konstantinovna Abramova,F,23,167,65,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
576,"Alejandro ""lex"" Abrines Redondo",M,23,198,93,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
580,Svetlana Olegovna Abrosimova,F,28,188,77,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
582,Saypulla Atavovich Absaidov,M,22,168,68,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
583,Julien Absalon,M,23,180,68,FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
583,Julien Absalon,M,27,180,68,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
608,Ahmad Abughaush,M,20,178,68,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
610,Ginko Abukawa-Chiba,F,26,148,46,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
618,Aleksandr Veniaminovich Abushakhmetov,M,25,189,81,URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
627,Andreea Roxana Acatrinei,F,16,150,40,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
629,William Accambray,M,24,194,104,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
634,Paul Accola,M,20,176,82,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
646,Anibl Santiago Acevedo,M,21,176,67,PUR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
654,Daniel Aceves Villagrn,M,19,158,52,MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
669,Joachim Yaw Acheampong,M,18,181,73,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
670,Alfred Achermann,M,24,176,75,SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
673,Abdel Hak Achik,M,29,165,54,MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze
674,Mohamed Abdelhak Achik,M,27,174,57,MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
680,Rita Nikolayevna Achkina,F,30,168,63,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
690,Chantal Achterberg,F,27,172,72,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
690,Chantal Achterberg,F,31,172,72,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
698,Paul Douglas Ackerley,M,27,179,68,NZL,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
702,Ronny Ackermann,M,24,184,69,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
702,Ronny Ackermann,M,24,184,69,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
702,Ronny Ackermann,M,28,184,69,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
705,Donat Acklin,M,26,190,99,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold
705,Donat Acklin,M,26,190,99,SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze
705,Donat Acklin,M,28,190,99,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold
705,Donat Acklin,M,28,190,99,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver
706,Guido Acklin,M,24,200,104,SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver
716,Lautaro Germn Acosta,M,20,168,72,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
723,Osmay Acosta Duarte,M,23,188,91,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
727,Martn Ral Acosta y Lara Daz,M,27,NA,NA,URU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze
745,Kazimierz Piotr Adach,M,23,162,60,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze
766,Ji Adam,M,25,187,83,TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
772,"Michael B. ""Mike"" Adam",M,24,175,95,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
777,Pierre Louis Eugne Adam,M,24,NA,NA,FRA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
785,Dariusz Adamczuk,M,22,179,78,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver
830,Adrian Neil Adams,M,21,178,78,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver
830,Adrian Neil Adams,M,25,178,78,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
832,Nicola Virginia Adams,F,29,164,51,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
832,Nicola Virginia Adams,F,33,164,51,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
837,Rachael Alexis Adams,F,26,188,81,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
840,"Victoria ""Vicki"" Adams",F,24,164,69,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
846,Valerie Kasanita Adams-Vili (-Price),F,23,193,120,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,31,193,120,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
849,Filip Kamil Adamski,M,29,189,87,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
851,Jerzy Adamski,M,23,171,58,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver
882,Simon Addo,M,17,180,79,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
896,Olubayo Adefemi,M,22,181,82,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver
908,"Ayodele ""Dele"" Adeleye",M,19,190,80,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver
918,Ademir Roque Kaefer,M,24,179,74,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver
918,Ademir Roque Kaefer,M,28,179,74,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver
923,Olapade Charles Adeniken,M,22,186,78,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
953,Franck Adisson,M,23,180,70,FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
953,Franck Adisson,M,26,180,70,FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
956,"Richard ""Richy""  Adjei",M,27,190,110,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver
957,Sammi Adjei,M,18,NA,NA,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze
962,"Charles ""Chuck"" Adkins",M,20,NA,NA,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold
963,Derrick Ralph Adkins,M,26,188,80,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
964,"Robert Edward ""Bob"" Adlard",M,32,NA,NA,GBR,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,Silver
966,Daniel Adler,M,26,180,72,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
967,Egon Adler,M,23,172,62,GER,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
980,"Rebecca ""Becky"" Adlington",F,19,179,70,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",F,19,179,70,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
980,"Rebecca ""Becky"" Adlington",F,23,179,70,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
980,"Rebecca ""Becky"" Adlington",F,23,179,70,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1000,Dainius Adomaitis,M,26,202,100,LTU,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Bronze
1017,Nathan Ghar-Jun Adrian,M,19,198,100,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
1017,Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1017,Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1017,Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1020,Adriana Aparecida dos Santos,F,25,180,61,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
1020,Adriana Aparecida dos Santos,F,29,180,61,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21,170,65,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1025,Attila Adrovicz,M,30,189,87,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1046,Klaus Aeffke,M,24,189,82,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver
1071,Kseniya Dmitriyevna Afanasyeva,F,20,158,48,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
1085,Maksim Sergeyevich Afinogenov,M,22,183,88,RUS,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1088,"Olabisi ""Bisi"" Afolabi",F,20,180,62,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1094,Felicia Afrsiloaie (-Jitianu),F,22,178,70,ROU,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
1095,Cecil Sebastian Afrika,M,28,175,75,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1104,Muhammad Afzal Manna,M,25,173,76,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1109,Lavinia Agache (-Carney),F,16,148,40,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
1109,Lavinia Agache (-Carney),F,16,148,40,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze
1114,Luca Agamennoni,M,24,187,93,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
1114,Luca Agamennoni,M,27,187,93,ITA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
1122,Andre Kirk Agassi,M,26,180,80,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Men's Singles,Gold
1131,Clarisse Agbegnenou,F,23,164,66,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
1147,Viktor Ivanovich Ageyev,M,20,184,80,URS,1956 Summer,1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze
1147,Viktor Ivanovich Ageyev,M,24,184,80,URS,1960 Summer,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Silver
1147,Viktor Ivanovich Ageyev,M,28,184,80,URS,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze
1169,Marilyn Agliotti,F,29,172,58,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
